Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
95.00,95.00,100.00,90.00,100.00,96.00±4.18
95.00,100.00,100.00,95.00,95.00,97.00±2.74
80.00,70.00,70.00,95.00,90.00,81.00±11.40
100.00,100.00,100.00,100.00,100.00,100.00±0.00
65.00,70.00,80.00,80.00,55.00,70.00±10.61
95.00,100.00,100.00,95.00,90.00,96.00±4.18
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,90.00,95.00,95.00,95.00,94.00±2.24
85.00,95.00,100.00,100.00,100.00,96.00±6.52
95.00,95.00,90.00,100.00,95.00,95.00±3.54
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,90.00,95.00,80.00,90.00,89.00±5.48
100.00,95.00,100.00,95.00,100.00,98.00±2.74
100.00,100.00,100.00,90.00,100.00,98.00±4.47
95.00,100.00,100.00,100.00,100.00,99.00±2.24
80.00,85.00,90.00,85.00,85.00,85.00±3.54
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,100.00,100.00,100.00,100.00,98.00±4.47
95.00,100.00,95.00,95.00,80.00,93.00±7.58
85.00,100.00,100.00,100.00,85.00,94.00±8.22
85.00,100.00,95.00,85.00,85.00,90.00±7.07
40.00,50.00,45.00,60.00,30.00,45.00±11.18
100.00,90.00,90.00,95.00,90.00,93.00±4.47
100.00,100.00,100.00,95.00,90.00,97.00±4.47
100.00,95.00,90.00,90.00,85.00,92.00±5.70
100.00,95.00,100.00,95.00,85.00,95.00±6.12
95.00,95.00,100.00,90.00,80.00,92.00±7.58
95.00,95.00,100.00,100.00,95.00,97.00±2.74
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,100.00,100.00,85.00,95.00,94.00±6.52
75.00,60.00,80.00,80.00,60.00,71.00±10.25
75.00,75.00,95.00,90.00,90.00,85.00±9.35
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,95.00,99.00±2.24
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,95.00,100.00,100.00,100.00,98.00±2.74
95.00,85.00,85.00,95.00,75.00,87.00±8.37
100.00,100.00,95.00,95.00,90.00,96.00±4.18
100.00,100.00,100.00,90.00,100.00,98.00±4.47
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,100.00,100.00,100.00±0.00
60.00,90.00,80.00,85.00,85.00,80.00±11.73
100.00,100.00,100.00,100.00,100.00,100.00±0.00
40.00,60.00,35.00,45.00,55.00,47.00±10.37
100.00,100.00,90.00,100.00,100.00,98.00±4.47
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,100.00,95.00,100.00,100.00,97.00±4.47
90.00,80.00,90.00,70.00,80.00,82.00±8.37
100.00,100.00,100.00,100.00,100.00,100.00±0.00
95.00,100.00,100.00,95.00,100.00,98.00±2.74
80.00,85.00,70.00,65.00,80.00,76.00±8.22
91.48,93.24,93.52,92.59,90.83,92.33±11.72
