Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
88.75,87.50,85.00,86.25,88.75,87.25±1.63
93.75,90.00,91.25,90.00,92.50,91.50±1.63
73.75,77.50,70.00,68.75,72.50,72.50±3.42
98.75,98.75,96.25,92.50,93.75,96.00±2.85
56.25,62.50,66.25,63.75,56.25,61.00±4.54
97.50,93.75,91.25,97.50,93.75,94.75±2.71
100.00,100.00,100.00,100.00,100.00,100.00±0.00
80.00,86.25,78.75,86.25,87.50,83.75±4.05
90.00,86.25,86.25,83.75,72.50,83.75±6.67
93.75,91.25,85.00,90.00,90.00,90.00±3.19
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,98.75,98.75,98.75,98.75,99.00±0.56
77.50,76.25,81.25,75.00,88.75,79.75±5.55
92.50,91.25,95.00,96.25,95.00,94.00±2.05
97.50,95.00,91.25,93.75,82.50,92.00±5.77
98.75,97.50,97.50,98.75,93.75,97.25±2.05
83.75,77.50,78.75,85.00,78.75,80.75±3.38
100.00,100.00,98.75,97.50,98.75,99.00±1.05
88.75,90.00,98.75,90.00,90.00,91.50±4.09
53.75,75.00,75.00,71.25,62.50,67.50±9.23
87.50,87.50,80.00,91.25,90.00,87.25±4.37
65.00,60.00,61.25,71.25,60.00,63.50±4.79
32.50,30.00,28.75,37.50,30.00,31.75±3.49
73.75,81.25,87.50,72.50,70.00,77.00±7.21
78.75,100.00,92.50,96.25,85.00,90.50±8.60
88.75,88.75,87.50,93.75,90.00,89.75±2.40
97.50,96.25,93.75,95.00,92.50,95.00±1.98
81.25,87.50,87.50,88.75,77.50,84.50±4.89
86.25,88.75,90.00,86.25,87.50,87.75±1.63
98.75,100.00,100.00,100.00,98.75,99.50±0.68
100.00,100.00,100.00,98.75,98.75,99.50±0.68
100.00,97.50,95.00,97.50,97.50,97.50±1.77
82.50,92.50,92.50,87.50,87.50,88.50±4.18
40.00,45.00,55.00,47.50,33.75,44.25±7.98
45.00,63.75,71.25,56.25,53.75,58.00±9.98
100.00,100.00,100.00,100.00,100.00,100.00±0.00
96.25,97.50,96.25,97.50,96.25,96.75±0.68
97.50,96.25,97.50,98.75,100.00,98.00±1.43
97.50,97.50,92.50,96.25,93.75,95.50±2.27
78.75,71.25,72.50,70.00,80.00,74.50±4.56
90.00,90.00,92.50,91.25,95.00,91.75±2.09
93.75,91.25,95.00,87.50,92.50,92.00±2.88
98.75,96.25,98.75,100.00,100.00,98.75±1.53
97.50,100.00,100.00,97.50,100.00,99.00±1.37
76.25,67.50,81.25,70.00,56.25,70.25±9.50
97.50,85.00,81.25,78.75,80.00,84.50±7.63
35.00,36.25,38.75,21.25,40.00,34.25±7.53
90.00,92.50,82.50,96.25,91.25,90.50±5.05
100.00,100.00,97.50,98.75,97.50,98.75±1.25
92.50,96.25,98.75,95.00,91.25,94.75±2.98
70.00,67.50,68.75,65.00,61.25,66.50±3.47
98.75,97.50,97.50,97.50,97.50,97.75±0.56
87.50,95.00,78.75,91.25,86.25,87.75±6.09
62.50,70.00,61.25,65.00,62.50,64.25±3.49
84.86,85.95,85.53,85.23,83.52,85.02±16.29
