Fold1,Fold2,Fold3,Fold4,Fold5,Mean±Std
100.00,70.00,90.00,95.00,85.00,88.00±11.51
95.00,85.00,90.00,90.00,95.00,91.00±4.18
65.00,70.00,60.00,75.00,75.00,69.00±6.52
85.00,100.00,100.00,100.00,100.00,97.00±6.71
75.00,55.00,70.00,60.00,40.00,60.00±13.69
95.00,100.00,95.00,90.00,85.00,93.00±5.70
100.00,95.00,100.00,95.00,100.00,98.00±2.74
80.00,80.00,80.00,80.00,65.00,77.00±6.71
85.00,90.00,95.00,90.00,95.00,91.00±4.18
85.00,95.00,95.00,95.00,100.00,94.00±5.48
100.00,100.00,100.00,100.00,95.00,99.00±2.24
85.00,100.00,95.00,95.00,95.00,94.00±5.48
75.00,80.00,95.00,60.00,55.00,73.00±16.05
85.00,95.00,95.00,85.00,90.00,90.00±5.00
90.00,80.00,95.00,95.00,85.00,89.00±6.52
100.00,90.00,100.00,100.00,100.00,98.00±4.47
85.00,90.00,85.00,80.00,80.00,84.00±4.18
95.00,100.00,100.00,100.00,100.00,99.00±2.24
80.00,80.00,100.00,100.00,80.00,88.00±10.95
65.00,75.00,60.00,80.00,75.00,71.00±8.22
80.00,100.00,90.00,90.00,80.00,88.00±8.37
75.00,90.00,80.00,75.00,60.00,76.00±10.84
40.00,50.00,35.00,30.00,30.00,37.00±8.37
80.00,70.00,65.00,75.00,60.00,70.00±7.91
90.00,80.00,100.00,95.00,90.00,91.00±7.42
85.00,75.00,80.00,90.00,75.00,81.00±6.52
100.00,90.00,100.00,95.00,85.00,94.00±6.52
70.00,95.00,85.00,90.00,75.00,83.00±10.37
75.00,80.00,95.00,90.00,90.00,86.00±8.22
100.00,100.00,95.00,100.00,100.00,99.00±2.24
95.00,95.00,100.00,100.00,100.00,98.00±2.74
100.00,100.00,100.00,100.00,95.00,99.00±2.24
95.00,100.00,100.00,85.00,90.00,94.00±6.52
30.00,55.00,50.00,85.00,45.00,53.00±20.19
70.00,90.00,80.00,80.00,90.00,82.00±8.37
100.00,100.00,100.00,100.00,100.00,100.00±0.00
100.00,100.00,100.00,95.00,95.00,98.00±2.74
100.00,95.00,100.00,90.00,95.00,96.00±4.18
90.00,85.00,95.00,95.00,90.00,91.00±4.18
80.00,70.00,80.00,75.00,70.00,75.00±5.00
100.00,95.00,90.00,85.00,75.00,89.00±9.62
85.00,85.00,80.00,75.00,80.00,81.00±4.18
95.00,100.00,100.00,95.00,100.00,98.00±2.74
95.00,100.00,100.00,100.00,100.00,99.00±2.24
70.00,65.00,70.00,80.00,75.00,72.00±5.70
95.00,90.00,95.00,95.00,90.00,93.00±2.74
40.00,25.00,45.00,40.00,35.00,37.00±7.58
95.00,95.00,90.00,95.00,85.00,92.00±4.47
100.00,100.00,100.00,100.00,100.00,100.00±0.00
90.00,100.00,95.00,100.00,100.00,97.00±4.47
45.00,55.00,60.00,50.00,35.00,49.00±9.62
90.00,100.00,95.00,100.00,95.00,96.00±4.18
100.00,95.00,95.00,90.00,90.00,94.00±4.18
65.00,70.00,45.00,40.00,75.00,59.00±15.57
84.17,85.65,86.85,86.02,82.31,85.00±15.59
